2024-10-21 21:36:34.099: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(1870, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 1870)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-10-21 21:36:34.099: Namespace(dataset='acm', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.4, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.0005, weight_decay=1e-06, n_clusters=3, n_input=1870)
2024-10-21 21:36:34.100: metrics:	 acc	 nmi	 ari	 f1
2024-10-21 21:39:30.008: epoch62 Q1:	0.9488	0.8056	0.8537	0.9489
2024-10-21 21:39:32.794: epoch63 Q1:	0.9491	0.8064	0.8545	0.9492
2024-10-21 21:39:35.608: epoch64 Q1:	0.9488	0.8052	0.8536	0.9489
2024-10-21 21:39:38.464: epoch65 Q1:	0.9488	0.8052	0.8536	0.9489
2024-10-21 21:39:41.285: epoch66 Q1:	0.9481	0.8036	0.8519	0.9482
2024-10-21 21:39:44.109: epoch67 Q1:	0.9478	0.8029	0.8510	0.9479
2024-10-21 21:39:46.977: epoch68 Q1:	0.9474	0.8026	0.8502	0.9475
2024-10-21 21:39:49.822: epoch69 Q1:	0.9471	0.8019	0.8493	0.9472
2024-10-21 21:39:52.661: epoch70 Q1:	0.9474	0.8030	0.8502	0.9475
2024-10-21 21:39:55.550: epoch71 Q1:	0.9474	0.8027	0.8502	0.9475
2024-10-21 21:39:58.373: epoch72 Q1:	0.9484	0.8050	0.8528	0.9485
2024-10-21 21:40:01.215: epoch73 Q1:	0.9491	0.8065	0.8546	0.9492
2024-10-21 21:40:03.997: epoch74 Q1:	0.9491	0.8057	0.8545	0.9492
2024-10-21 21:40:06.786: epoch75 Q1:	0.9488	0.8047	0.8536	0.9489
2024-10-21 21:40:09.583: epoch76 Q1:	0.9494	0.8072	0.8554	0.9495
2024-10-21 21:40:12.385: epoch77 Q1:	0.9494	0.8072	0.8554	0.9495
2024-10-21 21:40:15.173: epoch78 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:40:17.979: epoch79 Q1:	0.9478	0.8030	0.8510	0.9479
2024-10-21 21:40:20.795: epoch80 Q1:	0.9478	0.8030	0.8510	0.9479
2024-10-21 21:40:23.593: epoch81 Q1:	0.9478	0.8030	0.8510	0.9479
2024-10-21 21:40:26.379: epoch82 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:40:29.173: epoch83 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:40:31.988: epoch84 Q1:	0.9488	0.8053	0.8537	0.9488
2024-10-21 21:40:34.789: epoch85 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:40:37.578: epoch86 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:40:40.383: epoch87 Q1:	0.9478	0.8025	0.8510	0.9479
2024-10-21 21:40:43.166: epoch88 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:40:45.957: epoch89 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:40:48.762: epoch90 Q1:	0.9478	0.8030	0.8510	0.9479
2024-10-21 21:40:51.564: epoch91 Q1:	0.9478	0.8030	0.8510	0.9479
2024-10-21 21:40:54.378: epoch92 Q1:	0.9481	0.8037	0.8519	0.9482
2024-10-21 21:40:57.159: epoch93 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:40:59.970: epoch94 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:41:02.752: epoch95 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:41:05.582: epoch96 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:41:08.383: epoch97 Q1:	0.9481	0.8028	0.8519	0.9482
2024-10-21 21:41:11.175: epoch98 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:13.970: epoch99 Q1:	0.9488	0.8053	0.8537	0.9488
2024-10-21 21:41:16.758: epoch100 Q1:	0.9488	0.8053	0.8537	0.9488
2024-10-21 21:41:19.566: epoch101 Q1:	0.9488	0.8053	0.8537	0.9488
2024-10-21 21:41:22.352: epoch102 Q1:	0.9488	0.8053	0.8537	0.9488
2024-10-21 21:41:25.161: epoch103 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:41:27.979: epoch104 Q1:	0.9478	0.8025	0.8510	0.9479
2024-10-21 21:41:30.748: epoch105 Q1:	0.9478	0.8025	0.8510	0.9479
2024-10-21 21:41:33.530: epoch106 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:36.355: epoch107 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:39.292: epoch108 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:42.116: epoch109 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:44.928: epoch110 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:47.752: epoch111 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:50.562: epoch112 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:41:53.338: epoch113 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:41:56.138: epoch114 Q1:	0.9478	0.8025	0.8510	0.9479
2024-10-21 21:41:58.964: epoch115 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:42:01.752: epoch116 Q1:	0.9481	0.8028	0.8519	0.9482
2024-10-21 21:42:04.547: epoch117 Q1:	0.9481	0.8028	0.8519	0.9482
2024-10-21 21:42:07.355: epoch118 Q1:	0.9481	0.8028	0.8519	0.9482
2024-10-21 21:42:10.226: epoch119 Q1:	0.9491	0.8056	0.8545	0.9492
2024-10-21 21:42:13.037: epoch120 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:15.765: epoch121 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:18.551: epoch122 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:42:21.361: epoch123 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:42:24.157: epoch124 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:26.952: epoch125 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:29.726: epoch126 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:32.547: epoch127 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:42:35.345: epoch128 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:42:38.253: epoch129 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:42:41.064: epoch130 Q1:	0.9488	0.8057	0.8537	0.9488
2024-10-21 21:42:43.928: epoch131 Q1:	0.9478	0.8025	0.8510	0.9479
2024-10-21 21:42:46.746: epoch132 Q1:	0.9481	0.8033	0.8519	0.9482
2024-10-21 21:42:49.547: epoch133 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:52.350: epoch134 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:55.129: epoch135 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:42:57.921: epoch136 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:43:00.735: epoch137 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:43:03.535: epoch138 Q1:	0.9484	0.8040	0.8528	0.9485
2024-10-21 21:43:06.322: epoch139 Q1:	0.9488	0.8057	0.8537	0.9488
2024-10-21 21:43:09.125: epoch140 Q1:	0.9491	0.8064	0.8546	0.9492
2024-10-21 21:43:11.919: epoch141 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:43:14.748: epoch142 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:43:17.522: epoch143 Q1:	0.9484	0.8045	0.8528	0.9485
2024-10-21 21:43:20.307: epoch144 Q1:	0.9488	0.8057	0.8537	0.9488
2024-10-21 21:43:23.120: epoch145 Q1:	0.9488	0.8057	0.8537	0.9488
2024-10-21 21:43:25.930: epoch146 Q1:	0.9488	0.8057	0.8537	0.9488
2024-10-21 21:43:28.720: epoch147 Q1:	0.9484	0.8049	0.8528	0.9485
2024-10-21 21:43:31.526: epoch148 Q1:	0.9484	0.8040	0.8528	0.9485
