2024-11-05 21:51:06.459: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(3703, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 3703)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-11-05 21:51:06.460: Namespace(dataset='cite', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.3, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.001, weight_decay=0.01, n_clusters=6, n_input=3703)
2024-11-05 21:51:06.460: metrics:	 acc	 nmi	 ari	 f1
2024-11-05 21:52:09.982: epoch62 Q1:	0.7115	0.4598	0.4785	0.6646
2024-11-05 21:52:11.000: epoch63 Q1:	0.7109	0.4588	0.4775	0.6650
2024-11-05 21:52:12.013: epoch64 Q1:	0.7102	0.4582	0.4773	0.6653
2024-11-05 21:52:13.025: epoch65 Q1:	0.7099	0.4574	0.4765	0.6650
2024-11-05 21:52:14.058: epoch66 Q1:	0.7109	0.4592	0.4785	0.6644
2024-11-05 21:52:15.073: epoch67 Q1:	0.7072	0.4565	0.4752	0.6631
2024-11-05 21:52:16.110: epoch68 Q1:	0.7090	0.4586	0.4775	0.6643
2024-11-05 21:52:17.128: epoch69 Q1:	0.7118	0.4609	0.4798	0.6660
2024-11-05 21:52:18.143: epoch70 Q1:	0.7109	0.4588	0.4776	0.6655
2024-11-05 21:52:19.153: epoch71 Q1:	0.7078	0.4564	0.4754	0.6632
2024-11-05 21:52:20.176: epoch72 Q1:	0.7069	0.4550	0.4741	0.6626
2024-11-05 21:52:21.193: epoch73 Q1:	0.7087	0.4555	0.4751	0.6636
2024-11-05 21:52:22.216: epoch74 Q1:	0.7115	0.4553	0.4773	0.6654
2024-11-05 21:52:23.226: epoch75 Q1:	0.7118	0.4562	0.4781	0.6656
2024-11-05 21:52:24.235: epoch76 Q1:	0.7102	0.4546	0.4761	0.6650
2024-11-05 21:52:25.259: epoch77 Q1:	0.7093	0.4553	0.4755	0.6645
2024-11-05 21:52:26.276: epoch78 Q1:	0.7124	0.4581	0.4795	0.6665
2024-11-05 21:52:27.276: epoch79 Q1:	0.7121	0.4561	0.4781	0.6657
2024-11-05 21:52:28.278: epoch80 Q1:	0.7121	0.4559	0.4788	0.6662
2024-11-05 21:52:29.295: epoch81 Q1:	0.7099	0.4543	0.4765	0.6646
2024-11-05 21:52:30.290: epoch82 Q1:	0.7106	0.4556	0.4779	0.6647
2024-11-05 21:52:31.293: epoch83 Q1:	0.7106	0.4548	0.4771	0.6647
2024-11-05 21:52:32.285: epoch84 Q1:	0.7090	0.4523	0.4743	0.6634
2024-11-05 21:52:33.271: epoch85 Q1:	0.7081	0.4513	0.4737	0.6625
2024-11-05 21:52:34.269: epoch86 Q1:	0.7075	0.4503	0.4728	0.6628
2024-11-05 21:52:35.261: epoch87 Q1:	0.7087	0.4514	0.4739	0.6631
2024-11-05 21:52:36.270: epoch88 Q1:	0.7106	0.4547	0.4765	0.6646
2024-11-05 21:52:37.266: epoch89 Q1:	0.7093	0.4530	0.4749	0.6640
2024-11-05 21:52:38.274: epoch90 Q1:	0.7084	0.4512	0.4730	0.6639
2024-11-05 21:52:39.311: epoch91 Q1:	0.7106	0.4536	0.4753	0.6655
2024-11-05 21:52:40.325: epoch92 Q1:	0.7115	0.4553	0.4768	0.6658
2024-11-05 21:52:41.343: epoch93 Q1:	0.7109	0.4534	0.4752	0.6661
